,c2,c4,c5,c6
424,In   we argued that it is not applicable to Hebrew  mainly because of the prevalence of the Hebrews construct state smixut,BackGround,GRelated,1
425,For the Hebrew experiments  we use the corpora of  ,Fundamental,Basis,1
426,These are the same settings as in  ,Fundamental,Idea,1
427,Refining the SimpleNP Definition The hard cases analysis identified examples that challenge the SimpleNP definition proposed in Goldberg et al  ,BackGround,SRelated,1
428,Kudo and Matsumoto   used SVM as a classification engine and achieved an FScore of 9379 on the shared task NPs,BackGround,GRelated,1
429,Further details can be found in Kudo and Matsumoto  ,BackGround,SRelated,1
430,Following Ramshaw and Marcus    the current dominant approach is formulating chunking as a classification task  in which each word is classified as the Beginning  Inside or Ooutside of a chunk,Fundamental,Idea,1
431,NP chunks in the shared task data are BaseNPs  which are nonrecursive NPs  a definition first proposed by Ramshaw and Marcus  ,BackGround,GRelated,1
432,For the English experiments  we use the nowstandard training and test sets that were introduced in   2,Fundamental,Basis,1
433,This method is similar to the corpus error detection method presented by Nakagawa and Matsumoto  ,Fundamental,Idea,1
434,It is a well studied problem in English  and was the focus of CoNLL2000s Shared Task  ,BackGround,GRelated,1
435,We applied this definition to the Hebrew Tree Bank    and constructed a moderate size corpus about 5 000 sentences for Hebrew SimpleNP chunking,Fundamental,Basis,1
436,SVM   is a supervised binary classifier,BackGround,SRelated,1
437,However  each of these assumes that the relations themselves are known in advance implicitly or explicitly so that the method can be provided with seed patterns    patternbased rules    relation keywords    or word pairs exemplifying relation instances  ,BackGround,GRelated,1
438,Most related work deals with discovery of hypernymy    synonymy   and meronymy  ,BackGround,GRelated,1
439,In addition to these basic types  several studies deal with the discovery and labeling of more specific relation subtypes  including interverb relations   and nouncompound relationships  ,BackGround,GRelated,1
440,It should be noted that some of these papers utilize language and domaindependent preprocessing including syntactic parsing   and named entity tagging    while others take advantage of handcrafted databases such as WordNet   and Wikipedia  ,BackGround,GRelated,1
441,In several studies   it has been shown that relatively unsupervised and languageindependent methods could be used to generate many thousands of sets of words whose semantics is similar in some sense,BackGround,GRelated,1
442,We do this as follows  essentially implementing a simplified version of the method of Davidov and Rappoport  ,Fundamental,Basis,1
443,Note that our method differs from that of Davidov and Rappoport   in that here we provide an initial seed pair  representing our target concept  while there the goal is grouping of as many words as possible into concept classes,Compare,Compare,1
444,It was shown in   that pairs of words that often appear together in such symmetric patterns tend to belong to the same class that is  they share some notable aspect of their semantics,BackGround,SRelated,1
445,Studying relationships between tagged named entities    proposed unsupervised clustering methods that assign given or semiautomatically extracted sets of pairs into several clusters  where each cluster corresponds to one of a known relationship type,BackGround,GRelated,1
446,A lot of this research is based on the initial insight   that certain lexical patterns X is a country can be exploited to automatically generate hyponyms of a specified word,BackGround,GRelated,1
447,In some recent work    it has been shown that related pairs can be generated without prespecifying the nature of the relation sought,BackGround,GRelated,1
448,Finally    provided a pattern distance measure which allows a fully unsupervised measurement of relational similarity between two pairs of words however  relationship types were not discovered explicitly,BackGround,GRelated,1
449,The bracketing guidelines   also mention the considerable difficulty of identifying the correct scope for nominal modifiers,BackGround,GRelated,1
450,We use Bikels implementation   of Collins parser   in order to carry out these experiments  using the nondeficient Collins settings,Fundamental,Basis,1
451,We draw our counts from a corpus of ngram counts calculated over 1 trillion words from the web  ,Fundamental,Basis,1
452,We use the Briscoe and Carroll   version of DepBank  a 560 sentence subset used to evaluate the rasp parser,Fundamental,Basis,1
453,We map the brackets to dependencies by finding the head of the np  using the Collins   head finding rules  and then creating a dependency between each other childs head and this head,Fundamental,Basis,1
454,We discretised the nonbinary features using an implementation of Fayyad and Iranis   algorithm  and classify using MegaM 2,Fundamental,Basis,1
455,For instance  CCGbank   was created by semiautomatically converting the Treebank phrase structure to Combinatory Categorial Grammar ccg   derivations,BackGround,GRelated,1
456,An additional grammar rule is needed just to get a parse  but it is still not correct Hockenmaier  2003  p,BackGround,SRelated,3
457,We check the correctness of the corpus by measuring interannotator agreement  by reannotating the first section  and by comparing against the sub NP structure in DepBank  ,Compare,Compare,1
458,We used the PARC700 Dependency Bank   which consists of 700 Section 23 sentences annotated with labelled dependencies,Fundamental,Basis,1
459,Our annotation guidelines 1 are based on those developed for annotating full sub np structure in the biomedical domain  ,Fundamental,Basis,1
460,Lapata and Keller   derive estimates from web counts  and only compare at a lexical level  achieving 787 accuracy,BackGround,GRelated,1
461,Finally  we test the utility of the extended Treebank for training statistical models on two tasks NP bracketing   and full parsing  ,Fundamental,Basis,1
462,Lauer   has demonstrated superior performance of the dependency model using a test set of 244 216 unique noun compounds drawn from Groliers encyclopedia,BackGround,GRelated,1
463,We implement a similar system to Table 4 Comparison of NP bracketing corpora Table 5 Lexical overlap Lauer    described in Section 3  and report on results from our own data and Lauers original set,Fundamental,Idea,1
464,The np bracketing task has often been posed in terms of choosing between the left or right branching structure of three word noun compounds a  world oil prices  Rightbranching b  crude oil prices  Leftbranching Most approaches to the problem use unsupervised methods  based on competing association strength between two of the words in the compound Marcus  1980  p,BackGround,GRelated,1
465,The Penn Treebank   is perhaps the most influential resource in Natural Language Processing NLP,BackGround,GRelated,2
466,According to Marcus et al    asking annotators to markup base np structure significantly reduced annotation speed  and for this reason base nps were left flat,BackGround,GRelated,1
467,For the original bracketing of the Treebank  annotators performed at 375475 words per hour after a Table 1 Agreement between annotators few weeks  and increased to about 1000 words per hour after gaining more experience  ,BackGround,SRelated,1
468,Nakov and Hearst   also use web counts  but incorporate additional counts from several variations on simple bigram queries  including queries for the pairs of words concatenated or joined by a hyphen,BackGround,GRelated,1
469,With our new data set  we began running experiments similar to those carried out in the literature  ,Fundamental,Idea,1
470,Many approaches to identifying base noun phrases have been explored as part of chunking    but determining sub np structure is rarely addressed,BackGround,GRelated,1
471,The bracketing tool often suggests a bracketing using rules based mostly on named entity tags  which are drawn from the bbn corpus  ,Fundamental,Basis,1
472,The most common form of parser evaluation is to apply the parseval metrics to phrasestructure parsers based on the penn Treebank  and the highest reported scores are now over 90  ,BackGround,GRelated,2
473,In this paper we evaluate a ccg parser   on the Briscoe and Carroll version of DepBank  ,Fundamental,Basis,1
474,Briscoe and Carroll   reannotated this resource using their grs scheme  and used it to evaluate the rasp parser,BackGround,GRelated,1
475,Parsers have been developed for a variety of grammar formalisms  for example hpsg    lfg    tag    ccg    and variants of phrasestructure grammar    including the phrasestructure grammar implicit in the Penn Treebank  ,BackGround,GRelated,1
476,And third  we provide the first evaluation of a widecoverage ccg parser outside of CCGbank  obtaining impressive results on DepBank and outperforming the rasp parser   by over 5 overall and on the majority of dependency types,Compare,Compare,3
477,For the gold standard we chose the version of DepBank reannotated by Briscoe and Carroll    consisting of 700 sentences from Section 23 of the Penn Treebank,Fundamental,Basis,1
478,The results in Table 4 were obtained by parsing the sentences from CCGbank corresponding to those in the 560sentence test set used by Briscoe et al  ,Fundamental,Basis,1
479,the macroaveraged scores are the mean of the individual scores for each relation  ,BackGround,SRelated,1
480,Can the ccg parser be compared with parsers other than rasp Briscoe and Carroll   give a rough comparison of rasp with the Parc lfg parser on the different versions of DepBank  obtaining similar results overall  but they acknowledge that the results are not strictly comparable because of the different annotation schemes used,BackGround,GRelated,1
481,Briscoe et al   split the 700 sentences in DepBank into a test and development set  but the latter only consists of 140 sentences which was not enough to reliably create the transformation,BackGround,GRelated,3
482,All the results were obtained using the RASP evaluation scripts  with the results for the rasp parser taken from Briscoe et al  ,Fundamental,Basis,1
483,Preiss   compares the parsers of Collins   and Charniak    the gr finder of Buchholz et al    and the rasp parser  using the Carroll et al   goldstandard,BackGround,GRelated,1
484,It has been argued that the parseval metrics are too forgiving and that phrase structure is not the ideal representation for a gold standard  ,BackGround,GRelated,3
485,Carroll et al   describe such a suite  consisting of sentences taken from the Susanne corpus  annotated with Grammatical Relations grs which specify the syntactic relation between a head and dependent,BackGround,GRelated,1
486,We chose not to use the corpus based on the Susanne corpus   because the grs are less like the ccg dependencies the corpus is not based on the Penn Treebank  making comparison more difficult because of tokenisation differences  for example and the latest results for rasp are on DepBank,BackGround,SRelated,3
487,parser evaluation has improved on the original parseval measures    but the challenge remains to develop a representation and evaluation suite which can be easily applied to a wide variety of parsers and formalisms,BackGround,SRelated,1
488,Clark and Curran   describes the ccg parser used for the evaluation,BackGround,SRelated,1
489,Previous evaluations of ccg parsers have used the predicateargument dependencies from CCGbank as a test set    with impressive results of over 84 Fscore on labelled dependencies,BackGround,SRelated,2
490,Kaplan et al   compare the Collins   parser with the Parc lfg parser by mapping lfg Fstructures and Penn Treebank parses into DepBank dependencies  claiming that the lfg parser is considerably more accurate with only a slight reduction in speed,BackGround,GRelated,1
491,The ccg parser results are based on automatically assigned pos tags  using the Curran and Clark   tagger,Fundamental,Basis,1
492,An example of this is from CCGbank    where all modifiers in nounnoun compound constructions modify the final noun because the penn Treebank  from which CCGbank is derived  does not contain the necessary information to obtain the correct bracketing,BackGround,GRelated,1
493,The grammar used by the parser is extracted from CCGbank  a ccg version of the Penn Treebank  ,BackGround,SRelated,1
494,Such conversions have been performed for other parsers  including parsers producing phrase structure output  ,BackGround,GRelated,1
495,Kaplan et al   clearly invested considerable time and expertise in mapping the output of the Collins parser into the DepBank dependencies  but they also note that This conversion was relatively straightforward for LFG structures ,BackGround,GRelated,1
496,In the case of Kaplan et al    the testing procedure would include running their conversion process on Section 23 of the Penn Treebank and evaluating the output against DepBank,BackGround,GRelated,1
497,A similar resource  the Parc Dependency Bank DepBank    has been created using sentences from the Penn Treebank,BackGround,GRelated,1
498,The bc scheme is similar to the original DepBank scheme    but overall contains less grammatical detail Briscoe and Carroll   describes the differences,BackGround,Basis,1
499,Different parsers produce different output  for example phrase structure trees    dependency trees    grammatical relations    and formalismspecific dependencies  ,BackGround,GRelated,1
500,The grammar consists of 425 lexical categories  expressing subcategorisation information  plus a small number of combinatory rules which combine the categories  ,BackGround,SRelated,1
501,A more interesting statement would be that it makes learning easier  along the lines of the result of    note  however  that their results are for the semisupervised domain adaptation problem and so do not apply directly,BackGround,SRelated,1
502,A partofspeech tagging problem on PubMed abstracts introduced by Blitzer et al  ,Fundamental,Basis,1
503,The first model  which we shall refer to as the Prior model  was first introduced by Chelba and Acero  ,Fundamental,Basis,1
504,This is a recapitalization task introduced by Chelba and Acero   and also used by Daume III and Marcu  ,BackGround,GRelated,1
505,For the CNNRecap task  we use identical feature to those used by both Chelba and Acero   and Daume III and Marcu   the current  previous and next word  and 13 letter prefixes and suffixes,Fundamental,Basis,1
506,Many of these are presented and evaluated by Daume III and Marcu  ,BackGround,GRelated,1
507,Daume III and Marcu   provide empirical evidence on four datasets that the Prior model outperforms the baseline approaches,BackGround,GRelated,1
508,More recently  Daume III and Marcu   presented an algorithm for domain adaptation for maximum entropy classifiers,BackGround,GRelated,1
509,We additionally ran the MegaM model   on these data though not in the multiconditional case for this  we considered the single source as the union of all sources,Fundamental,Basis,1
510,In all cases  we use the S earn algorithm for solving the sequence labeling problem   with an underlying averaged perceptron classifier implementation due to  ,Fundamental,Basis,1
511,Second  it is arguable that a measure like F 1 is inappropriate for chunking tasks  ,BackGround,SRelated,1
512,Following    we call the first the source domain  and the second the target domain,Fundamental,Idea,1
513,Recently there have been some studies addressing domain adaptation from different perspectives  ,BackGround,GRelated,1
514,The POS data set and the CTS data set have previously been used for testing other adaptation methods    though the setup there is different from ours,BackGround,GRelated,1
515,Blitzer et al   propose a domain adaptation method that uses the unlabeled target instances to infer a good feature representation  which can be regarded as weighting the features,BackGround,GRelated,1
516,Chelba and Acero   use the parameters of the maximum entropy model learned from the source domain as the means of a Gaussian prior when training a new model on the target data,BackGround,GRelated,1
517,The setup is very similar to Daume III and Marcu  ,Fundamental,Idea,1
518,els the different distributions in the source and the target domains is by Daume III and Marcu  ,Fundamental,Basis,1
519,Florian et al   first train a NE tagger on the source domain  and then use the taggers predictions as features for training and testing on the target domain,BackGround,GRelated,1
520,This way of setting 7 corresponds to the entropy minimization semisupervised learning method  ,BackGround,SRelated,1
521,For generative syntactic parsing  Roark and Bacchiani   have used the source domain data to construct a Dirichlet prior for MAP estimation of the PCFG for the target domain,BackGround,GRelated,1
522,ber of hidden components is not fixed  but emerges We begin by presenting three finite tree models  each naturally from the training data  ,Fundamental,Basis,1
523,The closely related infinite hidden Markov model is an HMM in which the transitions are modeled using an HDP  enabling unsupervised learning of sequence models when the number of hidden states is unknown  ,BackGround,GRelated,1
524,The infinite hidden Markov model iHMM or HDPHMM   is a model of sequence data with transitions modeled by an HDP,BackGround,GRelated,1
525,This is useful  because coarsegrained syntactic categories  such as those used in the Penn Treebank PTB  make insufficient distinctions to be the basis of accurate syntactic parsing  ,BackGround,GRelated,3
526,Hence  stateoftheart parsers either supplement the partofspeech POS tags with the lexical forms themselves    manually split the tagset into a finergrained one    or learn finer grained tag distinctions using a heuristic learning procedure  ,BackGround,GRelated,2
527,But the introduction of nonparametric priors such as the Dirichletprocess   enabled development of infinite mixture models  in which the numTeh et al   proposed the hierarchical Dirichlet process HDP as a way of applying the Dirichlet process DP to more complex model forms  so as to allow multiple  groupspecific  infinite mixture models to share their mixture components,BackGround,GRelated,1
528,8 Additionally  we compute the mutual information of the learned clusters with the gold tags  and we compute the cluster Fscore  ,Fundamental,Basis,1
529,First  we use the standard approach of greedily assigning each of the learned classes to the POS tag with which it has the greatest overlap  and then computing tagging accuracy  ,Fundamental,Basis,1
530,For comparison  Haghighi and Klein   report an unsupervised baseline of 413  and a best result of 805 from using handlabeled prototypes and distributional similarity,Compare,Compare,1
531,Earlier  Johnson et al   presented adaptor grammars  which is a very similar model to the HDPPCFG,BackGround,GRelated,1
532,We use the generative dependency parser distributed with the Stanford factored parser   for the comparison  since it performs simultaneous tagging and parsing during testing,Fundamental,Basis,1
533,The HDPPCFG    developed at the same time as this work  aims to learn state splits for a binarybranching PCFG,BackGround,GRelated,1
534,In contrast  Liang et al   define a global DP over sequences  with the base measure defined over the global state probabilities   0 locally  each state has an HDP  with this global DP as the base measure,Compare,Compare,1
535,For both experiments  we used dependency trees extracted from the Penn Treebank   using the head rules and dependency extractor from Yamada and Matsumoto  ,Fundamental,Basis,1
536,To generate  n we first generate an infinite sequence of variables  n  n k each of which is distributed according to the Beta distribution Then  n  n k   1 is defined as 1 Following Pitman   we refer to this process as n  GEM a 0,Fundamental,Idea,1
537,Teh  2006  pc  to sample each m jk sampleM j  k 1  if n jk  0 2  then m jk  0 3  else m jk  1 4  for i  2 to n jk 5  doifrand T 6  then m jk  m jk  1 7  return m jk Sampling  ,,,
538,In many cases  improving semisupervised models was done by seeding these models with domain information taken from dictionaries or ontology  ,BackGround,GRelated,1
539,This follows a conceptually similar approach by   that uses a large namedentity dictionary  where the similarity between the candidate namedentity and its matching prototype in the dictionary is encoded as a feature in a supervised classifier,BackGround,GRelated,1
540,Therefore  an increasing attention has been recently given to semisupervised learning  where large amounts of unlabeled data are used to improve the models learned from a small training set  ,BackGround,GRelated,1
541,This was used  for example  by   in information extraction  and by   in POS tagging,BackGround,GRelated,1
542,This decomposition applies both to discriminative linear models and to generative models such as HMMs and CRFs  in which case the linear sum corresponds to log likelihood assigned to the inputoutput pair by the model for details see   for the classification case and   for the structured case,BackGround,SRelated,1
543,For example    proposes Diagonal Transition Models for sequential labeling tasks where neighboring words tend to have the same labels,BackGround,GRelated,1
544,The second problem we consider is extracting fields from advertisements  ,Fundamental,Basis,1
545,  and   also report results for semisupervised learning for these domains,BackGround,GRelated,1
546,  extends the dictionarybased approach to sequential labeling tasks by propagating the information given in the seeds with contextual word similarity,BackGround,GRelated,1
547,We implement some global constraints and include unary constraints which were largely imported from the list of seed words used in  ,Fundamental,Basis,1
548,  also worked on one of our data sets,BackGround,SRelated,1
549,1 The first task is to identify fields from citations   ,Fundamental,Basis,1
550,Another way to look the algorithm is from the selftraining perspective  ,BackGround,SRelated,1
551,However  in the general case  semisupervised approaches give mixed results  and sometimes even degrade the model performance  ,BackGround,GRelated,3
552,  has suggested to balance the contribution of labeled and unlabeled data to the parameters,BackGround,SRelated,1
553, ,,,
554,This confirms results reported for the supervised learning case in  ,BackGround,SRelated,1
555,On the other hand  in the supervised setting  it has been shown that incorporating domain and problem specific structured information can result in substantial improvements  ,BackGround,GRelated,1
556,However   showed that reasoning with more expressive  nonsequential constraints can improve the performance for the supervised protocol,BackGround,GRelated,1
557,We note that in the presence of constraints  the inference procedure for finding the output y that maximizes the cost function is usually done with search techniques rather than Viterbi decoding  see   for a discussion  we chose beamsearch decoding,BackGround,SRelated,1
558,While   showed the significance of using hard constraints  our experiments show that using soft constraints is a superior option,BackGround,GRelated,3
559,Conceptually  although not technically  the most related work to ours is   that  in a somewhat adhoc manner uses soft constraints to guide an unsupervised model that was crafted for mention tracking,BackGround,SRelated,1
560,Crucially  the kind of lexical descriptions that we employ are those that are commonly devised within lexicondriven approaches to linguistic syntax  egLexicalized TreeAdjoining Grammar   and Combinary Categorial Grammar  ,Fundamental,Basis,1
561,There are currently two supertagging approaches available LTAGbased   and CCGbased  ,BackGround,GRelated,1
562,One important way of portraying such lexical descriptions is via the supertags devised in the LTAG and CCG frameworks  ,BackGround,SRelated,2
563,The term supertagging   refers to tagging the words of a sentence  each with a supertag,BackGround,SRelated,1
564,The LTAGbased supertagger of   is a standard HMM tagger and consists of a secondorder Markov language model over supertags and a lexical model conditioning the probability of every word on its own supertag just like standard HMMbased POS taggers,BackGround,SRelated,1
565,For the LTAG supertags experiments  we used the LTAG English supertagger 5   to tag the English part of the parallel data and the supertag language model data,Fundamental,Basis,1
566,Akin to POS tagging  the process of supertagging an input utterance proceeds with statistics that are based on the probability of a wordsupertag pair given their Markovian or local context  ,BackGround,GRelated,1
567,Besides the difference in probabilities and statistical estimates  these two supertaggers differ in the way the supertags are extracted from the Penn Treebank  cf  ,BackGround,GRelated,1
568,Only quite recently have   and   shown that incorporating some form of syntactic structure could show improvements over a baseline PBSMT system,BackGround,GRelated,2
569,Among the first to demonstrate improvement when adding recursive structure was    who allows for hierarchical phrase probabilities that handle a range of reordering phenomena in the correct fashion,BackGround,GRelated,1
570,The CCG supertagger   is based on loglinear probabilities that condition a supertag on features representing its context,BackGround,SRelated,1
571,For the CCG supertag experiments  we used the CCG supertagger of   and the Edinburgh CCG tools 6 to tag the English part of the parallel corpus as well as the CCG supertag language model data,Fundamental,Basis,1
572,Both the LTAG   and the CCG supertag sets   were acquired from the WSJ section of the PennII Treebank using handbuilt extraction rules,Fundamental,Basis,1
573,Decoder The decoder used in this work is Moses  a loglinear decoder similar to Pharaoh    modified to accommodate supertag phrase probabilities and supertag language models,Fundamental,Idea,1
574,Within the field of Machine Translation  by far the most dominant paradigm is Phrasebased Statistical Machine Translation PBSMT  ,BackGround,GRelated,1
575,For example    demonstrated that adding syntax actually harmed the quality of their SMT system,BackGround,GRelated,1
576,The bidirectional word alignment is used to obtain phrase translation pairs using heuristics presented in   and    and the Moses decoder was used for phrase extraction and decoding,Fundamental,Basis,1
577,The bidirectional word alignment is used to obtain lexical phrase translation pairs using heuristics presented in   and  ,,,
578,Coming right up to date    demonstrate that syntactified target language phrases can improve translation quality for ChineseEnglish,BackGround,GRelated,2
579,While the research of   has much in common with the approach proposed here such as the syntactified target phrases  there remain a number of significant differences,BackGround,SRelated,1
580,The NIST MT03 test set is used for development  particularly for optimizing the interpolation weights using Minimum Error Rate training  ,Fundamental,Basis,1
581,Firstly  rather than induce millions of xRS rules from parallel data  we extract phrase pairs in the standard way   and associate with each phrasepair a set of target language syntactic structures based on supertag sequences,Fundamental,Basis,1
582,Table 1 presents the BLEU scores   of both systems on the NIST 2005 MT Evaluation test set,Fundamental,Basis,1
583,For less commonly used languages  one might use open source research systems  ,BackGround,MRelated,1
584,Also relevant is previous work that applied machine learning approaches to MT evaluation  both with human references   and without  ,BackGround,GRelated,1
585,METEOR uses the Porter stemmer and synonymmatching via WordNet to calculate recall and precision more accurately  ,BackGround,GRelated,1
586,As its loss function  support vector regression uses an einsensitive error function  which allows for errors within a margin of a small positive value  e  to be considered as having zero error cfBishop    pp339344,BackGround,SRelated,1
587,This can be seen as a form of confidence estimation on MT outputs  ,BackGround,GRelated,1
588,To remove the bias in the distributions of scores between different judges  we follow the normalization procedure described by Blatz et al  ,Fundamental,Idea,1
589,We conducted experiments to determine the feasibility of the proposed approach and to address the following questions 1 How informative are pseudo references inandof themselves Does varying the number andor the quality of the references have an impact on the metrics 2 What are the contributions of the adequacy features versus the fluency features to the learningbased metric 3 How do the quality and distribution of the training examples  together with the quality of the pseudo references  impact the metric training 4 Do these factors impact the metrics ability in assessing sentences produced within a single MT system How does that systems quality affect metric performance The implementation of support vector regression used for these experiments is SVMLight  ,Fundamental,Basis,1
590,To compare the relative quality of different metrics  we apply bootstrapping resampling on the data  and then use paired ttest to determine the statistical significance of the correlation differences  ,Fundamental,Basis,1
591,ROUGE utilizes skip ngrams  which allow for matches of sequences of words that are not necessarily adjacent  ,BackGround,GRelated,1
592,BLEU is smoothed    and it considers only matching up to bigrams because this has higher correlations with human judgments than when higherordered ngrams are included,BackGround,SRelated,1
593,The HWC metrics compare dependency and constituency trees for both reference and machine translations  ,BackGround,GRelated,1
594,In addition to adapting the idea of Head Word Chains    we also compared the input sentences argument structures against the treebank for certain syntactic categories,Fundamental,Idea,1
595,Referencebased metrics such as BLEU   have rephrased this subjective task as a somewhat more objective question how closely does the translation resemble sentences that are known to be good translations for the same source This approach requires the participation of human translators  who provide the gold standard reference sentences,BackGround,GRelated,1
596,The relationship between word alignments and their impact on MT is also investigated in  ,BackGround,GRelated,1
597,Most current statistical models   treat the aligned sentences in the corpus as sequences of tokens that are meant to be words the goal of the alignment process is to find links between source and target words,BackGround,GRelated,1
598,To quickly and approximately evaluate this phenomenon  we trained the statistical IBM wordalignment model 4    1 using the GIZA software   for the first two language pairs  and the Europarl corpus   for the last one,Fundamental,Basis,1
599,They can be seen as extensions of the simpler IBM models 1 and 2  ,BackGround,GRelated,1
600,We use a standard loglinear phrasebased statistical machine translation system as a baseline GIZA implementation of IBM word alignment model 4    8 the refinement and phraseextraction heuristics described in    minimumerrorrate training Table 2 ChineseEnglish corpus statistics   using Phramer    a 3gram language model with KneserNey smoothing trained with SRILM   on the English side of the training data and Pharaoh   with default settings to decode,Fundamental,Basis,1
601,We also want to bootstrap on different word aligners in particular  one possibility is to use the flexible HMM wordtophrase model of Deng and Byrne   in place of IBM model 4,BackGround,MRelated,1
602,We evaluate the reliability of these candidates  using simple metrics based on cooccurence frequencies  similar to those used in associative approaches to word alignment  ,Fundamental,Idea,1
603,Second  an increase in AER does not necessarily imply an improvement in translation quality   and viceversa  ,BackGround,SRelated,1
604,This very simple measure is frequently used in associative approaches  ,BackGround,SRelated,1
605, there is want to need not IiS in front of  as soon as  look at Figure 2 Examples of entries from the manually developed dictionary The intrinsic quality of word alignment can be assessed using the Alignment Error Rate AER metric    that compares a systems alignment output to a set of goldstandard alignment,BackGround,SRelated,1
606,The quality of the translation output is evaluated using BLEU  ,Fundamental,Basis,1
607,The experiments were carried out using the ChineseEnglish datasets provided within the IWSLT 2006 evaluation campaign    extracted from the Basic Travel Expression Corpus BTEC  ,Fundamental,Basis,1
608,For Chinese  the data provided were tokenized according to the output format of ASR systems  and humancorrected  ,Fundamental,Basis,1
609,Note that the need to consider segmentation and alignment at the same time is also mentioned in    and related issues are reported in  ,BackGround,GRelated,1
610,More importantly  however  this segmentation is often performed in a monolingual context  which makes the word alignment task more difficult since different languages may realize the same concept using varying numbers of words see eg  ,BackGround,GRelated,1
611,The loglinear model is also based on standard features conditional probabilities and lexical smoothing ofphrases in both directions  and phrase penalty  ,Fundamental,Basis,1
612,To test the influence of the initial word segmentation on the process of word packing  we considered an additional segmentation configuration  based on an automatic segmenter combining rulebased and statistical techniques  ,Fundamental,Basis,1
613,These resources follow more or less the same format as the output of the word segmenter mentioned in Section 512    so the experiments are carried out using this segmentation,Fundamental,Idea,1
614,It has been argued that METEOR correlates better with human judgment due to higher weight on recall than precision  ,BackGround,SRelated,1
615,Recently  confusion network decoding for MT system combination has been proposed  ,BackGround,GRelated,1
616,Powells method   is used to tune the system and feature weights simultaneously so as to optimize various automatic evaluation metrics on a development set,BackGround,GRelated,1
617,In this work  modified Powells method as proposed by   is used,Fundamental,Basis,1
618,Six MT systems were combined three A C E were phrasebased similar to    two B D were hierarchical similar to   and one F was syntaxbased similar to  ,Fundamental,Idea,1
619,Combination of speech recognition outputs is an example of this approach  ,BackGround,GRelated,1
620,Also  a more heuristic alignment method has been proposed in a different system combination approach  ,BackGround,GRelated,1
621,In speech recognition  confusion network decoding   has become widely used in system combination,BackGround,GRelated,1
622,In    different word orderings are taken into account by training alignment models by considering all hypothesis pairs as a parallel corpus using GIZA  ,BackGround,GRelated,1
623,Tuning is fully automatic  as opposed to   where global system weights were set manually,BackGround,GRelated,1
624,Similar combination of multiple confusion networks was presented in  ,BackGround,SRelated,1
625,The same Powells method has been used to estimate feature weights of a standard featurebased phrasal MT decoder in  ,BackGround,SRelated,1
626,The optimization of the system and feature weights may be carried out using best lists as in  ,BackGround,SRelated,1
627,Currently  the most widely used automatic MT evaluation metric is the NIST BLEU4  ,BackGround,SRelated,1
628,This work was extended in   by introducing system weights for word confidences,BackGround,GRelated,1
629,In    simple score was assigned to the word coming from the thbest hypothesis,BackGround,GRelated,1
630,In    the total confidence of the nth best confusion network hypothesis   including NULL words  given the th source sentence  was given by where is the number of nodes in the confusion network for the source sentence   is the number of translation systems  is the th system weight   c wn is the accumulated confidence for word produced by system between nodes and   and is a weight for the number of NULL links along the hypothesis ,BackGround,SRelated,1
631,The improved system combination method was compared to a simple confusion network decoding without system weights and the method proposed in   on the Arabic to English and Chinese to English NIST MT05 tasks,Compare,Compare,1
632,Compared to the baseline from    the new method improves the BLEU scores significantly,Compare,Compare,3
633,In ensemble learning  a collection of simple classifiers is used to yield better performance than any single classifier for example boosting  ,BackGround,GRelated,1
634,A modified Levenshtein alignment allowing shifts as in computation of the translation edit rate TER   was used to align hypotheses in  ,BackGround,GRelated,1
635,Minimum Bayes risk MBR was used to choose the skeleton in  ,BackGround,GRelated,1
636,This is equivalent to minimum Bayes risk decoding with uniform posterior probabilities  ,BackGround,SRelated,1
637,It has been found that multiple hypotheses from each system may be used to improve the quality of the combination output  ,BackGround,SRelated,1
638,Translation edit rate TER   has been proposed as more intuitive evaluation metric since it is based on the rate of edits required to transform the hypothesis into the reference,BackGround,SRelated,1
639,However  this would require time consuming evaluations such as human mediated TER postediting  ,BackGround,MRelated,1
640,The TnT tagger   and the TreeTagger   are used for tagging and lemmatization,Fundamental,Basis,1
641,Motivated by the theoretical work by Chafe   and Jacobs    we view the VF as the place for elements which modify the situation described in the sentence  ie,Fundamental,Idea,1
642,Finally  the articles are parsed with the CDG dependency parser  ,Fundamental,Basis,1
643,The preferences summarized below have motivated our choice of features  constituents in the nominative case precede those in other cases  and dative constituents often precede those in the accusative case    the verb arguments order depends on the verbs  subcategorization properties    constituents with a definite article precede those with an indefinite one    pronominalized constituents precede nonpronominalized ones     animate referents precede inanimate ones    short constituents precede longer ones    the preferred topic position is right after the verb    the initial position is usually occupied by scenesetting elements and topics   ,BackGround,GRelated,1
644,The sentenceinitial position  which in German is the VF  has been shown to be cognitively more prominent than other positions  ,BackGround,SRelated,1
645,Inspired by the findings of the Prague School   and Systemic Functional Linguistics    they focus on the role that information structure plays in constituent ordering,BackGround,GRelated,1
646,Harbusch et al   present a generation workbench  which has the goal of producing not the most appropriate order  but all grammatical ones,BackGround,GRelated,1
647,We suppose that this dificulty comes from the double function of the initial position which can either introduce the addressation topic  or be the scene or framesetting position  ,BackGround,MRelated,1
648,We hypothesize that the reasons which bring a constituent to the VF are different from those which place it  say  to the beginning of the MF  for the order in the MF has been shown to be relatively rigid  ,BackGround,SRelated,1
